Frame,Fuerza_X,Fuerza_Y,Fuerza_Z
204,0.0,-6.9,-0.9
205,0.0,-6.9,-0.9
206,0.0,-6.9,-0.9
207,0.0,-6.9,-0.9
208,0.0,2.0,-0.9
209,0.0,-6.9,-0.9
210,0.0,-6.9,-0.9
211,0.0,-6.9,-0.9
212,0.0,2.0,-0.9
213,0.0,-6.9,-0.9
214,0.0,-6.9,-0.9
215,0.0,-6.9,-0.9
216,0.0,2.0,-0.9
217,0.0,-6.9,-0.9
218,0.0,-6.9,-0.9
219,0.0,-6.9,-0.9
220,0.0,2.0,-0.9
221,0.0,-6.9,-0.9
222,0.0,-6.9,-0.9
223,0.0,59.0,-3.9
224,0.0,-5.9,-3.9
225,0.0,-5.9,-3.9
226,0.0,-5.9,-3.9
227,0.0,-5.9,-3.9
228,0.0,-5.9,-3.9
229,0.0,-5.9,-3.9
230,0.0,-5.9,-3.9
231,0.0,-5.9,-3.9
232,0.0,-5.9,-3.9
233,0.0,-4.8,-4.6
234,0.0,-4.8,-4.6
235,0.0,-4.8,-4.6
236,0.0,-4.8,-4.6
237,0.0,-4.8,-4.6
238,0.0,-4.8,-4.6
239,0.0,-4.8,-4.6
240,0.0,-4.8,-4.6
241,0.0,-4.8,-4.6
242,0.0,-4.8,-4.6
243,0.0,-3.7,-3.8
244,0.0,-3.7,-3.8
245,0.0,-3.7,-3.8
246,0.0,-3.7,-3.8
247,0.0,-3.7,-3.8
248,0.0,-3.7,-3.8
249,0.0,-3.7,-3.8
250,0.0,-3.7,-3.8
251,0.0,-3.7,-3.8
252,0.0,-3.7,-3.8
253,0.0,-3.7,-3.8
254,0.0,-3.7,-3.8
255,0.0,-3.7,-3.8
256,0.0,-3.7,-3.8
257,0.0,-3.7,-3.8
258,0.0,-3.7,3.0
259,0.0,5.0,3.0
260,0.0,5.0,3.0
261,0.0,5.0,3.0
262,0.0,5.0,3.0
263,0.0,5.0,3.0
264,0.0,5.0,3.0
265,0.0,5.0,3.0
266,0.0,5.0,3.0
267,0.0,5.0,3.0
268,0.0,4.0,-0.9
269,0.0,-5.9,-0.9
270,1.0,-5.9,-0.9
271,0.0,-5.9,-0.9
272,0.0,-5.9,-0.9
273,0.0,-5.9,-0.9
274,0.0,-5.9,-0.9
275,0.0,-5.9,-0.9
276,0.0,-5.9,-0.9
277,0.0,-5.9,-0.9
278,0.0,-5.9,-0.9
279,0.0,-5.9,-0.9
280,0.0,-5.9,-0.9
281,0.0,-5.9,-0.9
282,0.0,-5.9,-0.9
283,0.0,2.0,-0.9
284,0.0,2.0,-0.9
285,0.0,-6.9,-0.9
286,0.0,-6.9,-0.9
287,0.0,-6.9,-0.9
288,0.0,-6.9,-0.9
289,0.0,6.0,-0.9
290,0.0,6.0,-0.9
291,0.0,6.0,-0.9
292,0.0,6.0,-0.9
293,0.0,-22.0,-22.0
294,0.0,-22.0,-22.0
295,0.0,-22.0,-22.0
296,0.0,-22.0,-22.0
297,0.0,-22.0,-22.0
298,0.0,-22.0,-22.0
299,0.0,-22.0,-22.0
300,0.0,-22.0,-22.0
301,0.0,-22.0,-22.0
302,0.0,-22.0,-22.0
303,0.0,-31.7,3728.0
304,0.0,-31.7,3728.0
305,0.0,-31.7,3728.0
306,0.0,-31.7,3728.0
307,0.0,-31.7,3728.0
308,0.0,-31.7,3728.0
309,0.0,-31.7,3728.0
310,0.0,-31.7,3728.0
311,0.0,-31.7,3728.0
312,0.0,-31.7,3728.0
313,0.0,-31.7,3728.0
314,0.0,-31.7,3728.0
315,0.0,-31.7,3728.0
316,0.0,-31.7,3728.0
317,0.0,-31.7,3728.0
318,0.0,-40.3,-40.3
319,0.0,-40.3,-40.3
320,0.0,-40.3,-40.3
321,0.0,-40.3,-40.3
322,0.0,-40.3,-40.3
323,0.0,-40.3,-40.0
324,0.0,-40.3,-40.0
325,0.0,-40.3,-40.0
326,0.0,-40.3,-40.0
327,0.0,-40.3,-40.0
328,0.0,4.0,-0.2
329,0.0,4.0,-0.2
330,0.0,-53.2,-0.2
331,0.0,-53.2,-0.2
332,0.0,-53.2,-0.2
333,0.0,-53.2,-0.2
334,0.0,-53.2,-0.2
335,0.0,-53.2,-0.2
336,0.0,-53.2,-0.2
337,0.0,-53.2,-0.2
338,0.0,-53.2,-0.2
339,0.0,-53.2,-0.2
340,0.0,-53.2,-0.2
341,0.0,-53.2,-0.2
342,0.0,-53.2,-0.2
343,0.0,-82.2,-62.2
344,0.0,-82.2,-62.2
345,0.0,-82.2,-62.2
346,0.0,-82.2,-62.2
347,0.0,-82.2,-62.2
348,0.0,-82.2,-62.2
349,0.0,-82.2,-62.2
350,0.0,-82.2,-62.2
351,0.0,-82.2,-62.2
352,0.0,-82.2,-62.2
353,0.0,-36.0,-36.0
354,0.0,-36.0,-36.0
355,0.0,-36.0,-36.0
356,0.0,-36.0,-36.0
357,0.0,-36.0,-36.0
358,0.0,-36.0,-36.0
359,0.0,-36.0,-36.0
360,0.0,-36.0,-36.0
361,0.0,-36.0,-36.0
362,0.0,-36.0,-36.0
363,0.0,-79.0,-9.0
364,0.0,-79.0,-9.0
365,0.0,-79.0,-9.0
366,0.0,-79.0,-9.0
367,0.0,-79.0,-9.0
368,0.0,-79.0,-9.0
369,0.0,-79.0,-9.0
370,0.0,-79.0,-9.0
371,0.0,-79.0,-9.0
372,0.0,-79.0,-9.0
373,0.0,-79.0,-9.0
374,0.0,-79.0,-9.0
375,0.0,-79.0,-9.0
376,0.0,-79.0,-9.0
377,0.0,-79.0,-9.0
378,0.0,4.0,-9.7
379,4.0,4.0,-9.7
380,4.0,4.0,-9.7
381,4.0,4.0,-9.7
382,4.0,4.0,-9.7
383,4.0,4.0,-9.7
384,4.0,4.0,-9.7
385,4.0,4.0,-9.7
386,4.0,4.0,-9.7
387,4.0,4.0,-9.7
388,0.0,0.29,2.0
389,0.0,0.29,2.0
390,0.0,0.29,2.0
391,0.0,0.29,2.0
392,0.0,0.29,2.0
393,0.0,29.7,2.0
394,0.0,29.7,2.0
395,0.0,29.7,2.0
396,0.0,29.7,2.0
397,0.0,29.7,2.0
398,0.0,29.7,2.0
399,0.0,29.7,2.0
400,0.0,29.7,2.0
401,0.0,29.7,2.0
402,0.0,29.7,2.0
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,-0.0
424,0.0,0.0,-0.0
425,0.0,0.0,-0.0
426,0.0,0.0,-0.0
427,0.0,0.0,-0.0
428,0.0,0.0,-0.0
429,0.0,0.0,-0.0
430,0.0,0.0,-0.0
431,0.0,0.0,-0.0
432,0.0,0.0,-0.0
433,0.0,0.0,-0.0
434,0.0,0.0,-0.0
435,0.0,0.0,-0.0
436,0.0,0.0,-0.0
437,0.0,0.0,-0.0
438,4.0,2.0,-0.0
439,0.0,2.0,-0.0
440,0.0,2.0,-0.0
441,4.0,2.0,-0.0
442,4.0,2.0,-0.0
443,4.0,0.0,-0.0
444,4.0,0.0,-0.0
445,4.0,0.0,-0.0
446,4.0,0.0,-0.0
447,4.0,0.0,-0.0
448,0.0,0.6,2.0
449,0.0,0.6,2.0
450,0.0,0.6,2.0
451,0.0,0.6,2.0
452,0.0,0.6,2.0
453,0.0,0.6,2.0
454,0.0,4.0,2.0
455,0.0,4.0,2.0
456,0.0,24.0,2.0
457,0.0,24.0,2.0
458,0.0,4.0,2.0
459,0.0,4.0,2.0
460,0.0,24.0,2.0
461,0.0,24.0,2.0
462,0.0,4.0,2.0
463,0.0,3.8,3.6
464,0.0,3.8,3.6
465,0.0,3.8,3.6
466,0.0,3.8,3.6
467,0.0,3.8,3.6
468,0.0,3.8,3.6
469,0.0,3.8,3.6
470,0.0,3.8,3.6
471,0.0,3.8,3.6
472,0.0,3.8,3.6
473,0.0,-6.9,-0.9
474,0.0,-6.9,-0.9
475,0.0,-6.9,-0.9
476,0.0,-6.9,-0.9
477,0.0,-6.9,-0.9
478,0.0,-6.9,-0.9
479,0.0,-6.9,-0.9
480,0.0,-6.9,-0.9
481,0.0,-6.9,-0.9
482,0.0,-6.9,-0.9
483,0.0,-12.3,-12.0
484,0.0,-12.3,-12.0
485,0.0,-12.3,-12.0
486,0.0,-12.3,-12.0
487,0.0,-12.3,-12.0
488,0.0,-12.3,-12.0
489,0.0,-12.3,-12.0
490,0.0,-12.3,-12.0
491,0.0,-12.3,-12.0
492,0.0,-12.3,-12.0
493,0.0,-12.3,-12.0
494,0.0,-12.3,-12.0
495,0.0,-12.3,-12.0
496,0.0,-12.3,-12.0
497,0.0,-12.3,-12.0
498,0.0,-9.4,-9.7
499,0.0,-9.4,-9.7
500,0.0,-9.4,-9.7
501,0.0,-9.4,-9.7
502,0.0,-9.4,-9.7
503,0.0,-9.4,-9.7
504,0.0,-9.4,-9.7
505,0.0,-9.4,-9.7
506,0.0,-9.4,-9.7
507,0.0,-9.4,-9.7
508,0.0,-14.5,-14.0
509,0.0,-14.5,-14.0
510,0.0,-14.5,-14.0
511,0.0,-14.5,-14.0
512,0.0,-14.5,-14.0
513,0.0,-14.5,-14.0
514,0.0,-14.5,-14.0
515,0.0,-14.5,-14.0
516,0.0,-14.5,-14.0
517,0.0,-14.5,-14.0
518,0.0,-14.5,-14.0
519,0.0,-14.5,-14.0
520,0.0,-14.5,-14.0
521,0.0,-14.5,-14.0
522,0.0,-14.5,-14.0
523,0.0,12.0,2.0
524,0.0,12.0,2.0
525,0.0,12.0,2.0
526,0.0,12.0,2.0
527,0.0,12.0,2.0
528,0.0,-1.2,12.0
529,0.0,-1.2,12.0
530,0.0,-1.2,12.0
531,0.0,-1.2,12.0
532,0.0,-1.2,12.0
533,0.0,0.6,0.6
534,0.0,0.6,0.6
535,0.0,0.6,0.6
536,0.0,0.6,0.6
537,0.0,0.6,0.6
538,0.0,0.6,0.6
539,0.0,0.6,0.6
540,0.0,0.6,0.6
541,0.0,0.6,0.6
542,0.0,0.6,0.6
543,0.0,38.0,3.6
544,0.0,3.8,3.6
545,0.0,3.8,3.6
546,0.0,3.8,3.6
547,0.0,3.8,3.6
548,0.0,3.8,3.6
549,0.0,3.8,3.6
550,0.0,3.8,3.6
551,0.0,3.8,3.6
552,0.0,3.8,3.6
553,0.0,3.8,3.6
554,0.0,3.8,3.6
555,0.0,3.8,3.6
556,0.0,3.8,3.6
557,0.0,3.8,3.6
558,0.0,6.0,1.0
559,0.0,6.0,1.0
560,0.0,6.0,1.0
561,0.0,6.0,1.0
562,0.0,6.0,1.0
563,1.0,15.0,1216.0
564,1.0,15.0,1216.0
565,1.0,15.0,1216.0
566,1.0,15.0,1216.0
567,1.0,15.0,1216.0
568,0.0,-5.9,-0.9
569,0.0,-5.9,-0.9
570,0.0,-5.9,-0.9
571,0.0,-5.9,-0.9
572,0.0,-5.9,-0.9
573,0.0,0.4,-0.9
574,0.0,0.4,-0.9
575,0.0,0.4,-0.9
576,0.0,0.4,-0.9
577,0.0,0.4,-0.9
578,0.0,0.4,-0.9
579,0.0,0.4,-0.9
580,0.0,0.4,-0.9
581,0.0,0.4,-0.9
582,0.0,0.4,-0.9
583,0.0,15.0,0.1434
584,0.0,15.0,0.1434
585,0.0,15.0,0.1434
586,0.0,15.0,0.1434
587,0.0,15.0,0.1434
588,0.0,15.0,0.1434
589,0.0,15.0,0.1434
590,0.0,15.0,0.1434
591,0.0,15.0,0.1434
592,0.0,15.0,0.1434
593,0.0,28.0,2.6
594,0.0,28.0,2.6
595,0.0,28.0,2.6
596,0.0,28.0,2.6
597,0.0,28.0,2.6
598,0.0,28.0,2.6
599,0.0,28.0,2.6
600,0.0,28.0,2.6
601,0.0,28.0,2.6
602,0.0,28.0,2.6
603,0.0,28.0,2.6
604,0.0,28.0,2.6
605,7.0,28.0,2.6
606,7.0,28.0,2.6
607,0.0,28.0,2.6
608,0.0,28.0,2.6
609,7.0,28.0,2.6
610,7.0,28.0,2.6
611,0.0,28.0,2.6
612,0.0,28.0,2.6
613,7.0,28.0,2.6
614,7.0,28.0,2.6
615,0.0,28.0,2.6
616,0.0,28.0,2.6
617,0.0,28.0,2.6
618,0.0,6.0,6.0
619,0.0,6.0,6.0
620,0.0,6.0,6.0
621,0.0,6.0,6.0
622,0.0,6.0,6.0
623,0.0,6.0,6.0
624,0.0,6.0,6.0
625,0.0,6.0,6.0
626,0.0,6.0,6.0
627,0.0,6.0,6.0
628,0.0,6.0,6.0
629,0.0,6.0,6.0
630,0.0,6.0,6.0
631,0.0,6.0,6.0
632,0.0,6.0,6.0
633,0.0,23.0,-0.0
634,0.0,13.0,-0.0
635,0.0,13.0,-0.0
636,0.0,13.0,-0.0
637,0.0,13.0,-0.0
638,0.0,-0.5,-0.0
639,0.0,-0.5,-0.0
640,0.0,-0.5,-0.0
641,0.0,-0.5,-0.0
642,0.0,-0.5,-0.0
643,4.0,28.0,2.6
644,4.0,28.0,2.6
645,4.0,28.0,2.6
646,4.0,28.0,2.6
647,4.0,28.0,2.6
648,4.0,28.0,2.6
649,4.0,28.0,2.6
650,4.0,28.0,2.6
651,4.0,28.0,2.6
652,4.0,28.0,2.6
653,0.0,0.6,0.6
654,0.0,0.6,0.6
655,0.0,0.6,0.6
656,0.0,0.6,0.6
657,0.0,0.6,0.6
658,0.0,0.6,0.6
659,0.0,0.6,0.6
660,0.0,0.6,0.6
661,0.0,0.6,0.6
662,0.0,0.6,0.6
663,0.0,6.0,0.6
664,0.0,6.0,0.6
665,0.0,6.0,0.6
666,0.0,6.0,0.6
667,0.0,6.0,0.6
668,0.0,17.0,146.8
669,0.0,17.0,146.8
670,0.0,17.0,146.8
671,0.0,17.0,146.8
672,0.0,17.0,146.8
673,0.0,17.0,146.8
674,0.0,17.0,146.8
675,0.0,17.0,146.8
676,0.0,17.0,146.8
677,0.0,17.0,146.8
678,0.0,0.6,0.6
679,0.0,0.6,0.6
680,0.0,6.0,0.6
681,0.0,1.0,0.6
682,0.0,0.6,0.6
683,0.0,0.06,0.0
684,0.0,0.06,0.0
685,0.0,0.06,0.0
686,0.0,0.06,0.0
687,0.0,0.06,0.0
688,0.0,-3.7,-3.8
689,0.0,-3.7,-3.8
690,0.0,-3.7,-3.8
691,0.0,-3.7,-3.8
692,0.0,-3.7,-3.8
693,0.0,-3.7,-3.8
694,0.0,-3.7,-3.8
695,0.0,-3.7,-3.8
696,0.0,-3.7,-3.8
697,0.0,-3.7,-3.8
698,0.0,-3.7,-3.8
699,0.0,-3.7,-3.8
700,0.0,-3.7,-3.8
701,0.0,-3.7,-3.8
702,0.0,-3.7,-3.8
703,0.0,17.0,1.0
704,0.0,17.0,1.0
705,0.0,17.0,1.0
706,0.0,17.0,1.0
707,0.0,17.0,1.0
708,0.0,17.0,1.0
709,0.0,17.0,1.0
710,0.0,17.0,1.0
711,0.0,17.0,1.0
712,0.0,17.0,1.0
713,0.0,17.0,0.1331
714,0.0,17.0,0.1331
715,0.0,17.0,0.1331
