Frame,Rojo_X,Rojo_Y,Rojo_Z
206,69.0,269.0,-73.3
207,69.0,269.0,-73.3
208,69.0,267.4,712.0
209,69.0,267.4,712.0
210,69.0,267.4,712.0
211,69.0,267.4,712.0
212,69.0,267.4,712.0
213,659.0,267.4,712.0
214,659.0,267.4,712.0
215,659.0,267.4,712.0
216,659.0,267.4,712.0
217,659.0,267.4,712.0
218,659.0,267.4,712.0
219,659.0,267.4,712.0
220,659.0,267.4,712.0
221,659.0,267.4,712.0
222,659.0,267.4,712.0
223,-5.9,263.8,-70.1
224,-5.9,263.8,-70.1
225,-5.9,263.8,-70.1
226,-5.9,263.8,-70.1
227,-5.9,263.8,-70.1
228,-5.9,263.8,-70.1
229,-5.9,263.8,-70.1
230,-5.9,263.8,-70.1
231,-5.9,263.8,-70.1
232,-5.9,263.8,-70.1
233,-4.8,256.5,-66.9
234,-4.8,256.5,-66.9
235,-4.8,256.5,-66.9
236,-4.8,256.5,-66.9
237,-4.8,256.5,-66.9
238,-4.8,256.5,-66.9
239,-4.8,256.5,-66.9
240,-4.8,256.5,-66.9
241,-4.8,256.5,-66.9
242,-4.8,256.5,-66.9
243,37.0,250.1,-63.7
244,37.0,250.1,-63.7
245,37.0,250.1,-63.7
246,37.0,250.1,-63.7
247,37.0,250.1,-63.7
248,37.0,250.1,-63.7
249,37.0,250.1,-63.7
250,37.0,250.1,-63.7
251,37.0,250.1,-63.7
252,37.0,250.1,-63.7
253,37.0,250.1,-63.7
254,37.0,250.1,-63.7
255,37.0,250.1,-63.7
256,37.0,250.1,-63.7
257,37.0,250.1,-63.7
258,37.0,2407.0,-62.6
259,37.0,2407.0,-62.6
260,37.0,2407.0,-62.6
261,37.0,2417.0,-62.6
262,37.0,2417.0,-62.6
263,37.0,2417.0,-62.6
264,37.0,2417.0,-62.6
265,37.0,2417.0,-62.6
266,37.0,2417.0,-62.6
267,37.0,2417.0,-62.6
268,-5.9,233.2,-60.4
269,-5.9,233.2,-60.4
270,-5.9,233.2,-60.4
271,-5.9,233.2,-60.4
272,-5.9,233.2,-60.4
273,-5.9,233.2,-60.4
274,-5.9,233.2,-60.4
275,-5.9,233.2,-60.4
276,-5.9,233.2,-60.4
277,-5.9,233.2,-60.4
278,-5.9,233.2,-60.4
279,-5.9,233.2,-60.4
280,-5.9,233.2,-60.4
281,-5.9,233.2,-60.4
282,-5.9,233.2,-60.4
283,69.0,2382.0,637.0
284,69.0,2382.0,637.0
285,69.0,2382.0,637.0
286,69.0,2382.0,637.0
287,69.0,2382.0,637.0
288,69.0,2382.0,637.0
289,69.0,2382.0,637.0
290,69.0,2382.0,637.0
291,69.0,2382.0,637.0
292,69.0,2382.0,637.0
293,-22.0,280.3,844.0
294,-22.0,280.3,844.0
295,-22.0,280.3,844.0
296,-22.0,280.3,844.0
297,-22.0,280.3,844.0
298,-22.0,280.3,844.0
299,-22.0,280.3,844.0
300,-22.0,280.3,844.0
301,-22.0,280.3,844.0
302,-22.0,280.3,844.0
303,317.0,372.8,-130.4
304,317.0,372.8,-130.4
305,317.0,372.8,-130.4
306,317.0,372.8,-130.4
307,317.0,372.8,-130.4
308,317.0,372.8,-130.4
309,317.0,372.8,-130.4
310,317.0,372.8,-130.4
311,317.0,372.8,-130.4
312,317.0,372.8,-130.4
313,317.0,372.8,-130.4
314,317.0,372.8,-130.4
315,317.0,372.8,-130.4
316,317.0,372.8,-130.4
317,317.0,372.8,-130.4
318,-40.3,422.4,-154.0
319,-40.3,422.4,-154.0
320,-40.3,422.4,-154.0
321,-40.3,422.4,-154.0
322,-40.3,422.4,-154.0
323,-40.3,422.4,-184.0
324,-40.3,422.4,-184.0
325,-40.3,422.4,-184.0
326,-40.3,422.4,-184.0
327,-40.3,422.4,-184.0
328,-53.2,466.4,-162.0
329,-53.2,466.4,-162.0
330,-53.2,466.4,-162.0
331,-53.2,466.4,-162.0
332,-53.2,466.4,-162.0
333,-53.2,466.4,-182.0
334,-53.2,466.4,-182.0
335,-53.2,466.4,-182.0
336,-53.2,466.4,-182.0
337,-53.2,466.4,-182.0
338,-53.2,466.4,-182.0
339,-53.2,466.4,-182.0
340,-53.2,466.4,-182.0
341,-53.2,466.4,-182.0
342,-53.2,466.4,-182.0
343,-82.2,80.4,-240.1
344,-82.2,80.4,-240.1
345,-82.2,80.4,-240.1
346,-82.2,80.4,-240.1
347,-82.2,80.4,-240.1
348,-82.2,80.4,2404.0
349,-82.2,80.4,2404.0
350,-82.2,80.4,2404.0
351,-82.2,80.4,2404.0
352,-82.2,80.4,2404.0
353,-36.0,817.5,3477.0
354,-36.0,817.5,3477.0
355,-36.0,817.5,3477.0
356,-36.0,817.5,3477.0
357,-36.0,817.5,3477.0
358,-36.0,817.5,3477.0
359,-36.0,817.5,3477.0
360,-36.0,817.5,3477.0
361,-36.0,817.5,3477.0
362,-36.0,817.5,3477.0
363,-79.0,7280.0,-327.3
364,-79.0,7280.0,-327.3
365,-79.0,728.0,-327.3
366,-79.0,728.0,-327.3
367,-79.0,728.0,-327.3
368,-79.0,728.0,-327.3
369,-79.0,728.0,-327.3
370,-79.0,728.0,-327.3
371,-79.0,728.0,-327.3
372,-79.0,728.0,-327.3
373,-79.0,7280.0,-327.3
374,-79.0,7280.0,-327.3
375,-79.0,7280.0,-327.3
376,-79.0,7280.0,-327.3
377,-79.0,7280.0,-327.3
378,-9.1,5015.0,-205.7
379,-9.1,8015.0,-205.7
380,-9.1,8015.0,-205.7
381,-9.1,8015.0,-205.7
382,-9.1,8015.0,-205.7
383,94.0,5015.0,-205.7
384,941.0,5015.0,-205.7
385,941.0,5015.0,-205.7
386,941.0,5015.0,-205.7
387,941.0,5015.0,-205.7
388,29.7,210.0,-14.2
389,29.7,210.0,-14.2
390,29.7,210.0,-14.2
391,29.7,210.0,-14.2
392,29.7,210.0,-14.2
393,29.7,210.0,-14.2
394,29.7,210.0,-14.2
395,29.7,210.0,-14.2
396,29.7,210.0,-14.2
397,29.7,210.0,-14.2
398,29.7,210.0,-14.2
399,29.7,210.0,-14.2
400,29.7,210.0,-14.2
401,29.7,210.0,-14.2
402,29.7,210.0,-14.2
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,6.0,304.0,324.0
449,6.0,304.0,324.0
450,6.0,304.0,34.0
451,6.0,304.0,34.0
452,6.0,304.0,34.0
453,6.0,304.0,34.0
454,6.0,304.0,34.0
455,6.0,304.0,34.0
456,6.0,304.0,34.0
457,6.0,304.0,34.0
458,6.0,304.0,34.0
459,6.0,304.0,34.0
460,6.0,304.0,34.0
461,6.0,304.0,34.0
462,6.0,304.0,34.0
463,38.0,103.2,30.0
464,38.0,103.2,30.0
465,38.0,103.2,30.0
466,38.0,103.2,30.0
467,38.0,103.2,30.0
468,38.0,103.2,30.0
469,38.0,103.2,30.0
470,38.0,103.2,30.0
471,38.0,103.2,30.0
472,38.0,103.2,30.0
473,-6.9,68.9,63.0
474,-6.9,68.9,63.0
475,-6.9,68.9,63.0
476,-6.9,68.9,63.0
477,-6.9,68.9,63.0
478,-6.9,68.9,63.0
479,-6.9,68.9,63.0
480,-6.9,68.9,63.0
481,-6.9,68.9,63.0
482,-6.9,68.9,63.0
483,123.0,647.0,-0.2
484,123.0,647.0,-0.2
485,123.0,647.0,-0.2
486,123.0,647.0,-0.2
487,12.3,647.0,-0.2
488,12.3,647.0,-0.2
489,12.3,647.0,-0.2
490,12.3,647.0,-0.2
491,12.3,647.0,-0.2
492,12.3,647.0,-0.2
493,12.3,647.0,-0.2
494,12.3,647.0,-0.2
495,12.3,647.0,-0.2
496,12.3,647.0,-0.2
497,12.3,647.0,-0.2
